"","title","author","subject","abstract","meta"
"11","Geometric Neural Network based on Phase Space for BCI decoding","Igor Carrara, Bruno Aristimunha, Marie-Constance Corsi, Raphael Y. de Camargo, Sylvain Chevallier, Théodore Papadopoulo","Signal Processing (eess.SP)","The integration of Deep Learning (DL) algorithms on brain signal analysis is still in its nascent stages compared to their success in fields like Computer Vision, especially in Brain-Computer Interface (BCI), where the brain activity is decoded to control external devices without requiring muscle control. Electroencephalography (EEG) is a widely adopted choice for designing BCI systems due to its non-invasive and cost-effective nature and excellent temporal resolution. Still, it comes at the expense of limited training data, poor signal-to-noise, and a large variability across and within-subject recordings. Finally, setting up a BCI system with many electrodes takes a long time, hindering the widespread adoption of reliable DL architectures in BCIs outside research laboratories. To improve adoption, we need to improve user comfort using, for instance, reliable algorithms that operate with few electrodes. \textbf{Approach:} Our research aims to develop a DL algorithm that delivers effective results with a limited number of electrodes. Taking advantage of the Augmented Covariance Method with SPDNet, we propose the SPDNet$_{\psi}$ architecture and analyze its performance and computational impact, as well as the interpretability of the results. The evaluation is conducted on 5-fold cross-validation, using only three electrodes positioned above the Motor Cortex. The methodology was tested on nearly 100 subjects from several open-source datasets using the Mother Of All BCI Benchmark (MOABB) framework. \textbf{Main results:} The results of our SPDNet$_{\psi}$ demonstrate that the augmented approach combined with the SPDNet significantly outperforms all the current state-of-the-art DL architecture in MI decoding. \textbf{Significance:} This new architecture is explainable, with a low number of trainable parameters and a reduced carbon footprint.","Fri, 8 Mar 2024 19:36:20 UTC (1,906 KB)"
"12","A Feature-based Generalizable Prediction Model for Both Perceptual and Abstract Reasoning","Quan Do, Thomas M. Morin, Chantal E. Stern, Michael E. Hasselmo","Artificial Intelligence (cs.AI)","A hallmark of human intelligence is the ability to infer abstract rules from limited experience and apply these rules to unfamiliar situations. This capacity is widely studied in the visual domain using the Raven's Progressive Matrices. Recent advances in deep learning have led to multiple artificial neural network models matching or even surpassing human performance. However, while humans can identify and express the rule underlying these tasks with little to no exposure, contemporary neural networks often rely on massive pattern-based training and cannot express or extrapolate the rule inferred from the task. Furthermore, most Raven's Progressive Matrices or Raven-like tasks used for neural network training used symbolic representations, whereas humans can flexibly switch between symbolic and continuous perceptual representations. In this work, we present an algorithmic approach to rule detection and application using feature detection, affine transformation estimation and search. We applied our model to a simplified Raven's Progressive Matrices task, previously designed for behavioral testing and neuroimaging in humans. The model exhibited one-shot learning and achieved near human-level performance in the symbolic reasoning condition of the simplified task. Furthermore, the model can express the relationships discovered and generate multi-step predictions in accordance with the underlying rule. Finally, the model can reason using continuous patterns. We discuss our results and their relevance to studying abstract reasoning in humans, as well as their implications for improving intelligent machines.","Fri, 8 Mar 2024 19:26:30 UTC (1,147 KB)"
"13","Extracting Protein-Protein Interactions (PPIs) from Biomedical Literature using Attention-based Relational Context Information","Gilchan Park, Sean McCorkle, Carlos Soto, Ian Blaby, Shinjae Yoo","Biomolecules (q-bio.BM)","Because protein-protein interactions (PPIs) are crucial to understand living systems, harvesting these data is essential to probe disease development and discern gene/protein functions and biological processes. Some curated datasets contain PPI data derived from the literature and other sources (e.g., IntAct, BioGrid, DIP, and HPRD). However, they are far from exhaustive, and their maintenance is a labor-intensive process. On the other hand, machine learning methods to automate PPI knowledge extraction from the scientific literature have been limited by a shortage of appropriate annotated data. This work presents a unified, multi-source PPI corpora with vetted interaction definitions augmented by binary interaction type labels and a Transformer-based deep learning method that exploits entities' relational context information for relation representation to improve relation classification performance. The model's performance is evaluated on four widely studied biomedical relation extraction datasets, as well as this work's target PPI datasets, to observe the effectiveness of the representation to relation extraction tasks in various data. Results show the model outperforms prior state-of-the-art models. The code and data are available at: this https URL","Fri, 8 Mar 2024 01:43:21 UTC (2,012 KB)"
"14","The Michaelis--Menten reaction at low substrate concentrations: Pseudo-first-order kinetics and conditions for timescale separation","Justin Eilertsen, Santiago Schnell, Sebastian Walcher","Dynamical Systems (math.DS)","We demonstrate that the Michaelis-Menten reaction mechanism can be accurately approximated by a linear system when the initial substrate concentration is low. This leads to pseudo-first-order kinetics, simplifying mathematical calculations and experimental analysis. Our proof utilizes a monotonicity property of the system and Kamke's comparison theorem. This linear approximation yields a closed-form solution, enabling accurate modeling and estimation of reaction rate constants even without timescale separation. Building on prior work, we establish that the sufficient condition for the validity of this approximation is $s_0 \ll K$, where $K=k_2/k_1$ is the Van Slyke-Cullen constant. This condition is independent of the initial enzyme concentration. Further, we investigate timescale separation within the linear system, identifying necessary and sufficient conditions and deriving the corresponding reduced one-dimensional equations.","Fri, 8 Mar 2024 18:27:54 UTC (43 KB)"
"15","Les Houches Lectures on Community Ecology: From Niche Theory to Statistical Mechanics","Wenping Cui, Robert Marsland III, Pankaj Mehta","Populations and Evolution (q-bio.PE)","Ecosystems are among the most interesting and well-studied examples of self-organized complex systems. Community ecology, the study of how species interact with each other and the environment, has a rich tradition. Over the last few years, there has been a growing theoretical and experimental interest in these problems from the physics and quantitative biology communities. Here, we give an overview of community ecology, highlighting the deep connections between ecology and statistical physics. We start by introducing the two classes of mathematical models that have served as the workhorses of community ecology: Consumer Resource Models (CRM) and the generalized Lotka-Volterra models (GLV). We place a special emphasis on graphical methods and general principles. We then review recent works showing a deep and surprising connection between ecological dynamics and constrained optimization. We then shift our focus by analyzing these same models in ""high-dimensions"" (i.e. in the limit where the number of species and resources in the ecosystem becomes large) and discuss how such complex ecosystems can be analyzed using methods from the statistical physics of disordered systems such as the cavity method and Random Matrix Theory.","Fri, 8 Mar 2024 18:13:06 UTC (15,770 KB)"
"16","The temperature affects the impact levels of synthetic insecticides on a parasitoid wasp used in the biological control of pentatomid pests in soybean crops","Matheus Rakes, Maíra Chagas Morais, Leandro do Prado Ribeiro, Gabriel Rodrigues Palma, Rafael de Andrade Moral, Daniel Bernardi, Anderson Dionei Grützmacher","Quantitative Methods (q-bio.QM)","The impact of climate change has led to growing global concern about the interaction of temperature and xenobiotics in agricultural toxicological studies. Thus, for the first time, we evaluated the lethal, sublethal and transgerational effects of six insecticides used in the management of stink bug complex in soybean crops on the different life stages of the parasitoid Telenomus podisi (Hymenoptera: Scelionidae) in three temperature levels (15, 25 and 30 °C). Telenomus podisi adults (F0 generation), when exposed to insecticides based on acephate, spinosad and thiamethoxam + lambda-cyhalothrin, showed accumulated mortality of 100% at all temperature levels tested. On the other hand, methoxyfenozide + spinetoram caused average mortalities of 88.75% at 15 °C and 38.75% at 25 and 30 °C. In contrast, the mortality rates caused by chlorfenapyr at 15, 25 and 30 °C were 1.25, 71.25 and 71.25%. On the other hand, surviving adults in lethal toxicity bioassay did not show differences in egg parasitism (F0 generation) and emergence of F1 generation in all temperature levels studied; however, the insecticide methoxyfenozide + spinetoram showed the lowest level of parasitism and emergence of T. podisi. In addition, our results demonstrated significant changes in the proportion of emerged males and females as the temperature increased; however, we did not find any differences when comparing the insecticides studied. Furthermore, we detected a significant interaction between insecticides and temperatures by contaminating the host's parasitized eggs (parasitoid pupal stage). Generally, the highest emergence reduction values were found at the highest temperature studied (30 °C). Our results highlighted the temperature-dependent impact of synthetic insecticides on parasitoids, which should be considered in toxicological risk assessments and under predicted climate change scenarios.","Fri, 8 Mar 2024 17:43:13 UTC (604 KB)"
"17","Advances of Deep Learning in Protein Science: A Comprehensive Survey","Bozhen Hu, Cheng Tan, Lirong Wu, Jiangbin Zheng, Jun Xia, Zhangyang Gao, Zicheng Liu, Fandi Wu, Guijun Zhang, Stan Z. Li","Biomolecules (q-bio.BM)","Protein representation learning plays a crucial role in understanding the structure and function of proteins, which are essential biomolecules involved in various biological processes. In recent years, deep learning has emerged as a powerful tool for protein modeling due to its ability to learn complex patterns and representations from large-scale protein data. This comprehensive survey aims to provide an overview of the recent advances in deep learning techniques applied to protein science. The survey begins by introducing the developments of deep learning based protein models and emphasizes the importance of protein representation learning in drug discovery, protein engineering, and function annotation. It then delves into the fundamentals of deep learning, including convolutional neural networks, recurrent neural networks, attention models, and graph neural networks in modeling protein sequences, structures, and functions, and explores how these techniques can be used to extract meaningful features and capture intricate relationships within protein data. Next, the survey presents various applications of deep learning in the field of proteins, including protein structure prediction, protein-protein interaction prediction, protein function prediction, etc. Furthermore, it highlights the challenges and limitations of these deep learning techniques and also discusses potential solutions and future directions for overcoming these challenges. This comprehensive survey provides a valuable resource for researchers and practitioners in the field of proteins who are interested in harnessing the power of deep learning techniques. By consolidating the latest advancements and discussing potential avenues for improvement, this review contributes to the ongoing progress in protein research and paves the way for future breakthroughs in the field.","Fri, 8 Mar 2024 13:45:32 UTC (4,315 KB)"
"18","Chemical Reactions regulated by Phase-Separated Condensates","Sudarshana Laha, Jonathan Bauermann, Frank Jülicher, Thomas C.T. Michaels, Christoph A. Weber","Soft Condensed Matter (cond-mat.soft)","Phase-separated liquid condensates can spatially organize and thereby regulate chemical processes. However, the physicochemical mechanisms underlying such regulation remain elusive as the intramolecular interactions responsible for phase separation give rise to a coupling between diffusion and chemical reactions at non-dilute conditions. Here, we derive a theoretical framework that decouples the phase separation of scaffold molecules from the reaction kinetics of diluted clients. As a result, phase volume and client partitioning coefficients become control parameters, which enables us to dissect the impact of phase-separated condensates on chemical reactions. We apply this framework to two chemical processes and show how condensates affect the yield of reversible chemical reactions and the initial rate of a simple assembly process. In both cases, we find an optimal condensate volume at which the respective chemical reaction property is maximal. Our work can be applied to experimentally quantify how condensed phases alter chemical processes in systems biology and unravel the mechanisms of how biomolecular condensates regulate biochemistry in living cells.","Fri, 8 Mar 2024 11:31:49 UTC (11,209 KB)"
"19","Synthetic Privileged Information Enhances Medical Image Representation Learning","Lucas Farndale, Chris Walsh, Robert Insall, Ke Yuan","Computer Vision and Pattern Recognition (cs.CV)","Multimodal self-supervised representation learning has consistently proven to be a highly effective method in medical image analysis, offering strong task performance and producing biologically informed insights. However, these methods heavily rely on large, paired datasets, which is prohibitive for their use in scenarios where paired data does not exist, or there is only a small amount available. In contrast, image generation methods can work well on very small datasets, and can find mappings between unpaired datasets, meaning an effectively unlimited amount of paired synthetic data can be generated. In this work, we demonstrate that representation learning can be significantly improved by synthetically generating paired information, both compared to training on either single-modality (up to 4.4x error reduction) or authentic multi-modal paired datasets (up to 5.6x error reduction).","Fri, 8 Mar 2024 11:18:26 UTC (7,040 KB)"
"20","Continual Learning and Catastrophic Forgetting","Gido M. van de Ven, Nicholas Soures, Dhireesha Kudithipudi","Machine Learning (cs.LG)","This book chapter delves into the dynamics of continual learning, which is the process of incrementally learning from a non-stationary stream of data. Although continual learning is a natural skill for the human brain, it is very challenging for artificial neural networks. An important reason is that, when learning something new, these networks tend to quickly and drastically forget what they had learned before, a phenomenon known as catastrophic forgetting. Especially in the last decade, continual learning has become an extensively studied topic in deep learning. This book chapter reviews the insights that this field has generated.","Fri, 8 Mar 2024 09:32:43 UTC (613 KB)"
"21","Benchmarking Large Language Models for Molecule Prediction Tasks","Zhiqiang Zhong, Kuangyu Zhou, Davide Mottin","Machine Learning (cs.LG)","Large Language Models (LLMs) stand at the forefront of a number of Natural Language Processing (NLP) tasks. Despite the widespread adoption of LLMs in NLP, much of their potential in broader fields remains largely unexplored, and significant limitations persist in their design and implementation. Notably, LLMs struggle with structured data, such as graphs, and often falter when tasked with answering domain-specific questions requiring deep expertise, such as those in biology and chemistry. In this paper, we explore a fundamental question: Can LLMs effectively handle molecule prediction tasks? Rather than pursuing top-tier performance, our goal is to assess how LLMs can contribute to diverse molecule tasks. We identify several classification and regression prediction tasks across six standard molecule datasets. Subsequently, we carefully design a set of prompts to query LLMs on these tasks and compare their performance with existing Machine Learning (ML) models, which include text-based models and those specifically designed for analysing the geometric structure of molecules. Our investigation reveals several key insights: Firstly, LLMs generally lag behind ML models in achieving competitive performance on molecule tasks, particularly when compared to models adept at capturing the geometric structure of molecules, highlighting the constrained ability of LLMs to comprehend graph data. Secondly, LLMs show promise in enhancing the performance of ML models when used collaboratively. Lastly, we engage in a discourse regarding the challenges and promising avenues to harness LLMs for molecule prediction tasks. The code and models are available at this https URL.","Fri, 8 Mar 2024 05:59:56 UTC (480 KB)"
"22","Information Theory in a Darwinian Evolution Population Dynamics Model","Eddy Kwessi","Populations and Evolution (q-bio.PE)","Using information theory, we propose an estimation method for traits parameters in a Darwinian evolution model for species with on trait or multiple traits. We use the Fisher's information to obtain the errors on the estimation for one species with one or multiple traits. We perform simulations to illustrate the method.","Fri, 8 Mar 2024 04:39:05 UTC (287 KB)"
"23","Electric field of DNA in solution: who is in charge?","Jonathan G. Hedley, Kush Coshic, Aleksei Aksimentiev, Alexei A. Kornyshev","Soft Condensed Matter (cond-mat.soft)","In solution, DNA is a highly charged macromolecule which bears a unit of negative charge on each phosphate of its sugar-phosphate backbone. Although partially compensated by counterions adsorbed at or condensed near it, DNA still produces a substantial electric field in its vicinity, which is screened by buffer electrolyte at longer distances from the DNA. Such field has been explored so far predominantly within the scope of a primitive model of the electrolytic solution, not considering more complicated structural effects of the water solvent. In this paper we investigate the distribution of electric field around DNA using linear response nonlocal electrostatic theory, applied here for helix-specific charge distributions, and compare the predictions of such theory with specially performed fully atomistic large scale molecular dynamics simulations. The main finding of this study is that oscillations in the electrostatic potential distribution are present around DNA, caused by the overscreening effect of structured water. Surprisingly, electrolyte ions at physiological concentrations do not strongly disrupt these oscillations, and rather distribute according to these oscillating patterns, indicating that water structural effects dominate the short-range electrostatics. We also show that (i) structured water adsorbed in the grooves of DNA lead to a positive electrostatic potential core, (ii) the Debye length some 10 Å away from the DNA is reduced, effectively renormalised by the helical pitch of the DNA, and (iii) Lorentzian contributions to the nonlocal dielectric function of water, effectively reducing the dielectric constant close to the DNA, enhances the overall electric field. The impressive agreement between the atomistic simulations and the developed theory substantiates the use of nonlocal electrostatics when considering solvent effects in molecular processes in biology.","Thu, 7 Mar 2024 23:35:25 UTC (36,557 KB)"
"24","A spatiotemporal style transfer algorithm for dynamic visual stimulus generation","Antonino Greco, Markus Siegel","Computer Vision and Pattern Recognition (cs.CV)","Understanding how visual information is encoded in biological and artificial systems often requires vision scientists to generate appropriate stimuli to test specific hypotheses. Although deep neural network models have revolutionized the field of image generation with methods such as image style transfer, available methods for video generation are scarce. Here, we introduce the Spatiotemporal Style Transfer (STST) algorithm, a dynamic visual stimulus generation framework that allows powerful manipulation and synthesis of video stimuli for vision research. It is based on a two-stream deep neural network model that factorizes spatial and temporal features to generate dynamic visual stimuli whose model layer activations are matched to those of input videos. As an example, we show that our algorithm enables the generation of model metamers, dynamic stimuli whose layer activations within our two-stream model are matched to those of natural videos. We show that these generated stimuli match the low-level spatiotemporal features of their natural counterparts but lack their high-level semantic features, making it a powerful paradigm to study object recognition. Late layer activations in deep vision models exhibited a lower similarity between natural and metameric stimuli compared to early layers, confirming the lack of high-level information in the generated stimuli. Finally, we use our generated stimuli to probe the representational capabilities of predictive coding deep networks. These results showcase potential applications of our algorithm as a versatile tool for dynamic stimulus generation in vision science.","Thu, 7 Mar 2024 23:07:46 UTC (2,988 KB)"
"25","Nano/micro-plastics effects in agricultural landscapes: an overlooked threat to pollination, biological pest control, and food security","Dong Sheng (1 and 2 and 3), Siyuan Jing (1 and 2 and 4), Xueqing He (1 and 5), Alexandra-Maria Klein (6), Heinz-R. Köhler (7), Thomas C. Wanger (1 and 2 and 8) ((1) Sustainable Agricultural Systems & Engineering Lab, School of Engineering, Westlake University, Hangzhou, China,(2) Key Laboratory of Coastal Environment and Resources of Zhejiang Province, School of Engineering, Westlake University, Hangzhou, China, (3) College of Environmental and Resource Sciences, Zhejiang University, Hangzhou, China, (4) Department of Environmental Science and Engineering, Fudan University, Shanghai, China, (5) Department of Health and Environmental Sciences, Xian Jiaotong-Liverpool University, Suzhou, China, (6) Nature Conservation and Landscape Ecology, University of Freiburg, Freiburg, Germany, (7) Animal Physiological Ecology, Institute of Evolution and Ecology, University of Tuebingen, Tuebingen, Germany, (8) Agroecology, University of Goettingen, Goettingen, Germany)","Other Quantitative Biology (q-bio.OT)","Biodiversity-associated ecosystem services such as pollination and biocontrol may be severely affected by emerging nano/micro-plastics (NMP) pollution. We synthesized the little-explored effects of NMP on pollinators and biocontrol agents on the organismal, farm and landscape scale. For instance ingested NMP trigger organismal changes from gene expression, organ damage to behavior modifications. At the farm and landscape level, NMP will likely amplify synergistic effects with other threats such as pathogens and antibiotics, and may alter landscape properties such as floral resource distributions in high NMP concentration areas, what we call NMP islands. It is essential to understand the functional exposure pathways of NMP on pollinators and biocontrol agents to comprehensively evaluate the risks for agricultural ecosystems and global food security.","Thu, 7 Mar 2024 22:04:48 UTC (1,284 KB)"
